YEARMO,Year,Month,DAHR, DAY01,DAHR, DAY02,DAHR, DAY03,DAHR, DAY04,DAHR, DAY05,DAHR, DAY06,DAHR, DAY07,DAHR, DAY08,DAHR, DAY09,DAHR, DAY10,DAHR, DAY11,DAHR, DAY12,DAHR, DAY13,DAHR, DAY14,DAHR, DAY15,DAHR, DAY16,DAHR, DAY17,DAHR, DAY18,DAHR, DAY19,DAHR, DAY20,DAHR, DAY21,DAHR, DAY22,DAHR, DAY23,DAHR, DAY24,DAHR, DAY25,DAHR, DAY26,DAHR, DAY27,DAHR, DAY28,DAHR, DAY29,DAHR, DAY30,DAHR, DAY31
195704,1957,4,118,5,218,11,399,-99999,499,-99999,599,-99999,699,-99999,718,29,818,8,918,9,1018,35,1118,21,1218,7,1318,99999,1418,21,1518,22,1618,7,1718,3,1818,14,1918,29,2018,21,2199,-99999,2299,-99999,2399,-99999,2499,-99999,2518,18,2699,-99999,2718,18,2818,8,2918,16,3018,0,3199,-99999
195705,1957,5,118,22,218,18,318,0,418,17,518,14,618,8,718,28,818,27,918,23,1018,28,1118,22,1299,-99999,1318,16,1418,44,1518,34,1618,29,1718,26,1899,-99999,1918,29,2018,14,2118,35,2218,51,2318,11,2418,10,2599,-99999,2618,6,2718,40,2818,19,2918,16,3018,72,3199,-99999
195706,1957,6,199,-99999,299,-99999,318,23,499,-99999,518,13,618,26,718,23,818,31,918,32,1018,34,1118,23,1218,99999,1318,62,1418,37,1599,-99999,1618,16,1718,15,1818,42,1918,19,2018,27,2118,47,2218,41,2318,37,2418,13,2518,30,2618,44,2718,9,2818,19,2918,28,3018,44,3199,-99999
195707,1957,7,118,43,218,36,318,39,499,-99999,518,35,618,57,718,51,818,63,918,43,1018,43,1118,40,1218,48,1318,55,1418,54,1518,41,1618,51,1718,52,1818,41,1918,34,2018,53,2118,30,2218,45,2318,19,2418,29,2518,19,2618,19,2718,37,2818,43,2918,34,3018,39,3118,34
195708,1957,8,118,34,218,24,318,37,418,29,518,35,618,35,718,34,818,33,918,42,1018,34,1118,40,1218,23,1318,40,1418,25,1518,32,1618,41,1718,25,1818,13,1918,21,2018,49,2118,32,2218,26,2318,26,2418,28,2518,29,2618,22,2718,46,2818,52,2918,38,3018,34,3118,41
195709,1957,9,118,22,218,11,318,25,418,19,518,30,618,31,718,32,818,22,918,21,1018,27,1118,21,1218,18,1318,18,1418,26,1599,-99999,1618,3,1718,22,1818,18,1918,20,2018,19,2199,-99999,2218,12,2318,20,2418,9,2518,13,2618,11,2718,14,2818,23,2918,12,3018,14,3199,-99999
195710,1957,10,118,19,218,15,318,34,418,2,518,32,618,21,718,99999,818,29,918,8,1018,6,1118,9,1218,10,1318,99999,1418,29,1518,4,1618,4,1718,23,1818,6,1918,14,2018,7,2118,5,2218,7,2318,18,2418,10,2518,7,2618,3,2718,9,2818,8,2918,15,3018,11,3118,9
195711,1957,11,118,10,218,12,318,22,499,-99999,599,-99999,699,-99999,799,-99999,818,18,918,18,1018,1,1118,9,1218,2,1399,-99999,1499,-99999,1518,4,1618,25,1718,8,1899,-99999,1918,12,2018,15,2118,12,2218,7,2318,3,2418,99999,2599,-99999,2699,-99999,2718,25,2818,8,2918,15,3099,-99999,3199,-99999
195803,1958,3,199,-99999,299,-99999,399,-99999,499,-99999,518,9,618,13,718,99999,818,10,918,8,1018,99999,1118,29,1299,-99999,1399,-99999,1499,-99999,1599,-99999,1618,11,1718,99999,1899,-99999,1918,12,2018,9,2118,21,2218,12,2318,99999,2418,24,2518,11,2618,12,2718,8,2818,11,2918,5,3018,99999,3118,27
195804,1958,4,118,7,218,15,318,7,418,13,518,53,618,46,718,27,818,22,918,20,1018,1,1118,7,1218,15,1318,7,1418,2,1518,19,1618,10,1718,28,1818,5,1918,18,2018,40,2118,23,2299,-99999,2318,23,2418,51,2518,21,2618,8,2718,31,2818,16,2918,30,3018,27,3199,-99999
195805,1958,5,118,20,218,5,318,10,418,20,518,16,618,38,718,29,818,23,918,44,1018,19,1118,2,1218,32,1318,22,1418,6,1518,10,1618,5,1718,25,1818,17,1918,18,2018,29,2118,33,2218,48,2318,34,2418,48,2518,32,2618,29,2718,23,2818,12,2918,20,3018,39,3118,54
195806,1958,6,118,61,218,27,318,53,418,37,518,53,618,46,718,52,818,44,918,40,1018,66,1118,66,1218,65,1318,83,1418,58,1518,56,1618,49,1718,40,1818,31,1918,39,2099,-99999,2199,-99999,2218,14,2318,18,2418,23,2518,27,2618,30,2718,33,2818,29,2918,43,3018,36,3199,-99999
195807,1958,7,118,37,218,15,318,9,418,58,518,27,618,99999,718,9,818,20,918,29,1018,50,1118,38,1218,41,1318,38,1418,35,1518,48,1618,48,1718,49,1818,46,1918,47,2099,-99999,2118,22,2218,20,2399,-99999,2418,24,2518,37,2618,23,2718,50,2818,42,2918,31,3018,28,3118,19
195808,1958,8,118,50,218,40,318,21,418,32,518,39,618,37,718,48,818,20,918,14,1018,37,1118,27,1218,25,1318,33,1418,15,1518,35,1618,39,1718,27,1818,24,1918,21,2018,24,2118,33,2218,21,2318,23,2418,69,2518,20,2618,25,2718,34,2818,99999,2918,47,3018,39,3118,37
195809,1958,9,118,17,299,-99999,318,52,418,38,518,27,618,32,718,22,818,30,918,26,1018,23,1118,19,1218,13,1318,14,1418,19,1518,30,1618,0,1718,18,1818,14,1918,28,2018,5,2118,11,2218,15,2318,16,2418,25,2518,30,2618,36,2718,22,2818,35,2918,15,3018,10,3199,-99999
195810,1958,10,118,24,218,20,318,5,418,14,518,13,618,12,718,14,818,31,918,21,1018,48,1118,37,1218,7,1318,2,1418,13,1518,7,1618,20,1718,15,1818,15,1918,16,2018,26,2118,48,2218,12,2318,19,2418,26,2518,23,2618,13,2718,6,2818,13,2918,17,3018,15,3118,15
195811,1958,11,118,1,218,8,318,13,418,19,518,17,618,22,718,11,818,22,918,11,1018,16,1118,5,1218,2,1318,10,1499,-99999,1518,5,1618,4,1718,11,1899,-99999,1999,-99999,2099,-99999,2199,-99999,2299,-99999,2399,-99999,2499,-99999,2599,-99999,2699,-99999,2799,-99999,2899,-99999,2999,-99999,3099,-99999,3199,-99999
195904,1959,4,199,-99999,218,39,318,51,418,33,518,32,618,17,718,23,818,18,918,7,1018,15,1118,19,1218,22,1318,32,1418,13,1518,40,1618,19,1718,25,1818,35,1918,41,2018,31,2118,14,2218,11,2318,13,2418,32,2518,41,2618,39,2718,44,2818,48,2918,31,3018,26,3199,-99999
195905,1959,5,118,53,218,60,318,29,418,40,518,23,699,-99999,718,21,899,-99999,999,-99999,1018,51,1118,7,1218,24,1318,20,1418,43,1518,21,1618,20,1718,20,1818,51,1918,35,2018,51,2118,46,2299,-99999,2399,-99999,2418,15,2518,15,2699,-99999,2799,-99999,2818,36,2918,29,3018,43,3118,31
195906,1959,6,118,35,218,15,318,29,418,29,518,9,618,28,718,30,818,24,918,32,1018,30,1118,36,1299,-99999,1318,28,1418,38,1518,35,1618,41,1718,99999,1818,86,1918,33,2018,43,2118,42,2218,39,2318,10,2418,38,2518,32,2618,99999,2718,27,2818,31,2918,30,3018,40,3199,-99999
195907,1959,7,199,-99999,218,18,318,22,418,39,518,40,618,15,718,30,818,37,999,-99999,1018,22,1118,32,1218,31,1318,15,1418,40,1518,27,1618,19,1718,32,1818,36,1918,24,2018,22,2199,-99999,2218,28,2318,30,2418,35,2518,40,2618,32,2718,9,2818,12,2918,28,3018,36,3118,17
195908,1959,8,118,42,218,35,318,37,418,50,518,37,618,21,718,47,818,31,918,37,1018,29,1118,27,1218,31,1318,34,1418,33,1518,36,1618,45,1718,26,1818,44,1918,13,2018,13,2118,34,2218,31,2318,25,2418,25,2518,20,2618,31,2718,30,2818,26,2918,30,3018,34,3118,34
